brand,model,fuel_type,vehicle_count,distance_traveled_km,liters_consumed,total_co2_kg,total_fuel_cost_eur,idle_ratio,utilization,km_per_liter_filled_capped,co2_per_km,fuel_cost_per_km,fuel_benchmark
Iveco,AD 280,Diesel,1,1403.7529296875,327.5,877.7,556.75,0.3537880516528492,0.3735949074074074,4.28626848759542,0.6252524795765815,0.3966153788358912,8.0
Iveco,AUTOCARRO,Diesel,1,458.3515625,101.2,271.216,172.04,0.658961448270477,0.31244212962962964,4.529165637351778,0.5917204656632975,0.3753450715028379,8.0
Iveco,DAILY,Diesel,16,8306.686279296875,1259.2,3374.6560000000004,2140.64,0.4861190366238699,0.4199473461137193,6.596796600458128,0.40625778879007457,0.2577008361728085,8.0
Iveco,EUROCARGO,Diesel,4,1331.5234375,215.4,577.272,366.18,0.6084749461762772,0.38984209656084656,6.181631557567316,0.4335425000733418,0.27500830228532874,8.0
Iveco,S-WAY,Diesel,1,305.0,158.6,425.048,269.62,0.8084876959175138,0.3892505787037037,1.9230769230769231,1.3936,0.884,8.0
Iveco,S-WAY 340,Diesel,1,610.56103515625,608.0,1629.44,1033.6,0.7621690018864117,0.4892037037037037,1.0042122288754112,2.6687585780560115,1.6928692472743354,8.0
Iveco,STRALIS,Diesel,1,139.671875,80.0,214.4,136.0,0.6824826878686843,0.4512731481481482,1.7458984375,1.5350262892941045,0.973710705895514,8.0
Iveco,SWAY,Diesel,1,497.28125,47.7,127.83600000000001,81.09,0.6745460045892326,0.4132476851851852,10.425183438155136,0.2570698171306479,0.16306667504556024,8.0
Iveco,TREKKER,Diesel,1,45.13671875,22.4,60.032,38.08,0.3512846865364851,0.5564699074074074,2.0150320870535716,1.330003634790134,0.8436590220683686,8.0
MISTUBISHI,FUSO CANTER,Diesel,2,1107.5390625,295.1,790.868,501.66999999999996,0.4752028963237273,0.46505401234567906,3.753097466960352,0.7140768454837231,0.4529591930307198,8.0
MITSUBISHI,CANTER,Diesel,1,497.171875,63.4,169.912,107.77999999999999,0.4473760496746234,0.34280324074074076,7.841827681388013,0.34175706338979855,0.21678619692636472,8.0
MITSUBISHI,FUSO CANTER,Diesel,7,2562.15625,740.3,1984.0040000000001,1258.51,0.6239658874437816,0.39237794612794613,3.460970214777793,0.7743493395455489,0.4911917452341168,8.0
MITSUBISHI,L200,Diesel,1,85.49755859375,0.0,0.0,0.0,,0.3388811728395062,,0.0,0.0,8.0
Mitsubishi,CANTER,Diesel,1,117.2109375,10.5,28.14,17.849999999999998,0.2642615860754088,0.08209104938271605,11.162946428571429,0.24007998400319935,0.15228954209158166,8.0
Mitsubishi,Canter,Diesel,2,826.8583984375,105.8,283.54400000000004,179.86,0.45688004772537016,0.6664434523809524,7.815296771620983,0.342917240165678,0.2175221299558405,8.0
Mitsubishi,FUSO,Diesel,13,4633.634765625,690.2,1849.736,1173.34,0.7126238409554676,0.40682669082125605,6.713466771406838,0.3991976263909315,0.2532223749494714,8.0
NEW HOLLAND,TN95FA,Diesel,1,28.296142578125,0.0,0.0,0.0,,0.24984953703703705,,0.0,0.0,8.0
NISSAN,0,Diesel,1,75.75,10.9,29.212000000000003,18.53,0.17555826537611463,0.6065509259259259,6.9495412844036695,0.3856369636963697,0.24462046204620463,8.0
NISSAN,NT 400,Diesel,3,534.515625,79.9,214.132,135.83,0.6405309375790473,0.36765946502057617,6.6898075719649555,0.40060943026688883,0.2541179221842205,8.0
NISSAN,NT400,Diesel,4,1190.9609375,223.5,598.98,379.95,0.5537248593672044,0.3949387254901961,5.328684284116331,0.5029384097662734,0.3190280957472629,8.0
NISSAN,QASHQAI,Diesel,1,1294.109375,81.5,218.42000000000002,138.55,0.5146802895541361,0.4260821759259259,15.87864263803681,0.16878016975960786,0.1070620479818408,8.0
Nissan,NT 400,Diesel,6,1844.421875,206.9,554.4920000000001,351.73,0.6815665916520681,0.4588601680384088,8.914557153214114,0.3006318714366799,0.19069932143371485,8.0
OPEL,ASTRA,Diesel,4,3601.55517578125,142.8,382.704,242.76,0.6652698461132441,0.44910163139329806,25.220974620316873,0.10626076273202834,0.06740421516583886,8.0
OPEL,COMBO,Diesel,6,1524.68359375,64.39999999999999,172.592,109.47999999999999,0.2797520265932275,0.35451244212962957,23.675211083074537,0.11319856835050306,0.07180506201337879,8.0
OPEL,CORSA,Diesel,1,511.046875,30.799999999999997,82.544,52.36,0.627038244293298,0.24576195987654317,16.59243100649351,0.16151943009141773,0.10245635490873513,8.0
OPEL,MOVANO,Diesel,2,643.2109375,27.599999999999998,73.968,46.919999999999995,0.3161767844117035,0.32754340277777777,23.304744112318843,0.11499804447899334,0.07294652075160024,8.0
OPEL,OPEL,Diesel,1,641.78125,30.3,81.20400000000001,51.51,0.5027923928759538,0.3890702160493827,21.180899339933994,0.12652909383064714,0.08026099235526123,8.0
OPEL,VIVARO,Diesel,1,597.796875,49.2,131.85600000000002,83.63999999999999,0.06863489349713014,0.24254050925925927,12.150342987804878,0.22056990512036387,0.13991374578530538,8.0
